order_id,order_date,product_id,amount
7697,2022-04-13,173,32.58
1282,2023-03-12,132,459.58
2081,2024-05-10,179,65.82
4885,2022-09-28,199,312.36
3881,2022-04-17,105,311.73
3970,2022-03-13,182,435.52
7985,2023-12-02,130,288.46
1947,2022-01-21,165,219.84
5760,2023-09-07,117,487.32
1066,2022-05-02,127,118.26
9828,2023-04-12,167,135.05
9505,2022-08-03,164,46.96
1564,2022-11-27,179,487.78
4670,2023-04-04,144,354.65
3251,2022-03-29,157,10.99
1804,2023-01-08,146,353.64
5631,2022-04-10,165,205.05
2235,2024-05-21,151,483.94
7720,2023-10-26,135,142.31
7906,2022-05-11,100,356.59
7016,2023-10-24,138,315.58
4549,2022-11-05,186,10.96
8938,2024-02-09,189,443.18
5141,2022-12-10,174,74.11
7966,2023-05-07,100,333.48
6335,2023-02-18,174,388.9
6077,2024-03-16,187,317.31
6611,2023-01-21,173,53.07
9089,2022-07-11,113,487.71
3892,2022-10-04,177,122.22
6577,2022-06-10,170,315.79
4618,2023-04-05,122,399.6
2559,2022-11-10,142,469.92
7683,2022-01-22,121,303.99
2507,2022-09-10,159,133.23
3063,2024-01-18,199,419.14
4642,2024-05-06,126,85.79
3000,2023-07-15,155,16.03
2294,2023-04-20,101,454.53
5065,2022-02-28,138,289.82
9014,2023-05-26,150,39.47
2603,2023-11-13,118,291.97
2322,2023-04-21,161,76.78
6956,2023-12-01,170,20.54
3441,2024-02-22,175,62.68
2098,2022-07-09,166,388.68
6073,2023-11-18,162,379.05
9488,2023-07-17,104,304.14
4787,2024-05-25,171,108.62
3096,2023-07-21,177,370.79
3208,2022-09-01,160,206.98
6988,2024-04-11,199,257.82
1175,2023-05-20,170,449.33
8169,2022-05-11,106,231.64
7014,2023-04-30,149,315.05
2667,2024-03-29,145,481.07
9867,2023-10-09,195,228.44
2823,2022-01-21,171,282.56
6147,2024-04-20,175,294.29
2356,2022-06-16,173,124.15
4072,2022-10-01,113,369.78
4259,2023-01-23,172,364.69
7199,2023-08-24,193,110.71
1546,2022-11-12,168,11.6
6231,2022-01-14,164,499.48
8965,2022-08-30,164,292.89
3083,2024-02-16,156,94.61
3040,2022-12-12,161,145.36
5534,2023-07-19,119,310.81
2752,2024-06-16,174,73.12
2849,2022-12-06,125,23.45
3642,2022-04-02,143,400.25
2600,2023-01-02,166,359.34
5402,2023-03-31,169,158.25
4799,2023-03-04,161,33.95
1618,2023-05-24,144,245.7
2132,2024-02-15,110,141.71
6491,2022-02-04,171,201.9
6795,2022-07-25,192,140.61
8633,2022-03-22,173,91.76
2487,2023-07-16,133,196.56
8848,2024-05-21,187,482.62
6009,2023-01-23,145,136.78
3113,2022-01-02,180,171.3
2044,2023-01-25,131,167.97
3431,2023-07-20,174,242.74
8979,2022-04-16,197,422.54
2582,2024-02-11,187,204.05
2308,2024-04-01,104,404.04
5917,2023-04-22,162,61.93
9793,2023-12-04,128,447.98
2620,2023-02-06,147,96.73
8503,2023-12-31,197,24.4
5766,2023-07-10,115,83.39
6362,2022-06-11,124,99.42
6192,2022-07-21,171,256.71
7622,2022-09-27,128,227.72
7093,2024-05-12,151,359.36
7704,2024-03-26,145,30.22
1100,2022-09-28,124,251.36
7657,2023-04-01,122,169.57
6875,2023-04-07,133,317.2
5271,2023-12-28,166,26.63
1237,2022-09-09,193,22.29
8226,2023-12-03,133,216.49
9032,2022-10-23,131,406.61
6218,2023-12-26,128,337.19
5025,2023-12-21,108,13.27
7073,2024-01-19,165,93.34
3542,2022-12-04,156,117.23
2537,2024-05-28,138,214.41
1754,2022-02-22,106,295.42
8396,2024-03-02,168,112.15
8823,2022-08-05,107,194.34
6507,2024-02-03,195,294.05
5235,2022-07-07,117,194.8
1540,2023-01-15,181,75.87
6510,2023-05-08,148,248.37
9461,2022-02-10,115,165.38
8926,2022-06-06,120,432.77
6131,2022-01-15,109,388.93
9697,2024-03-23,103,99.19
2129,2022-03-06,143,80.55
4145,2024-05-06,107,177.1
9553,2024-04-18,154,209.03
4720,2023-06-05,118,466.35
5067,2022-12-10,163,154.3
5195,2022-05-09,139,434.45
8281,2023-10-10,150,255.13
3509,2023-04-17,108,443.38
6016,2022-03-04,129,352.47
7533,2022-05-19,155,355.65
5727,2023-05-14,180,261.8
1681,2023-08-16,143,420.95
4932,2023-01-27,158,130.94
6560,2023-11-06,114,454.14
5016,2023-02-23,167,320.2
8339,2022-10-16,169,222.16
1719,2023-01-14,160,491.18
1074,2024-02-12,179,431.7
5157,2023-05-05,189,387.15
9511,2022-08-19,122,140.58
3149,2022-02-10,176,487.0
7713,2022-01-28,146,372.78
5207,2022-05-15,116,304.58
8141,2022-07-20,156,461.29
9652,2024-04-19,153,85.28
4936,2024-02-19,190,73.81
2075,2022-02-02,151,284.04
4876,2022-02-17,121,33.07
5615,2023-05-18,182,333.67
8265,2023-02-11,138,124.17
7379,2023-07-28,198,63.92
5652,2023-12-29,112,207.7
7792,2024-03-15,177,235.65
8456,2022-04-09,194,89.39
5674,2023-11-15,165,25.56
1541,2024-05-21,151,209.96
3161,2023-12-27,113,380.97
3251,2023-07-01,172,437.73
5569,2024-01-09,173,53.29
3744,2023-09-05,162,264.71
7041,2023-04-07,170,135.38
5675,2023-10-05,127,190.44
2560,2024-02-08,188,467.05
2164,2022-01-05,145,179.28
6419,2022-08-06,127,185.85
3722,2023-05-18,101,108.65
1470,2024-02-06,116,480.21
2468,2023-02-02,158,230.96
8925,2024-05-20,151,287.34
1808,2024-03-05,103,229.32
9363,2023-01-28,176,130.19
7719,2022-07-26,181,406.15
6073,2022-01-15,102,19.09
9012,2024-05-07,136,346.67
2645,2023-07-08,196,299.17
9249,2024-06-10,123,76.42
2129,2023-04-06,171,87.12
2353,2023-11-22,134,331.32
1767,2023-07-29,101,159.51
4895,2024-05-13,132,136.54
9874,2024-01-13,175,34.28
4454,2022-08-29,185,384.41
8329,2023-07-18,176,441.92
2790,2022-04-06,109,410.82
1885,2024-06-18,180,235.69
8734,2024-01-04,161,269.31
4906,2023-04-30,142,124.93
5492,2023-02-11,168,90.56
3073,2022-08-19,158,412.39
1312,2024-01-19,108,400.18
7269,2023-10-17,176,389.79
6317,2022-06-20,159,234.36
1810,2023-06-25,162,432.93
7841,2022-02-05,151,463.48
3032,2023-06-09,122,167.53
8129,2022-06-09,129,116.22
3705,2024-04-18,142,234.81
9788,2023-11-30,167,93.77
3147,2022-08-31,120,442.58
1615,2022-03-27,142,172.31
1947,2024-03-06,172,290.21
6677,2023-08-01,106,299.39
5651,2023-11-13,115,259.92
8866,2023-07-11,122,82.48
3013,2023-07-28,157,495.55
4697,2023-10-08,186,90.44
1490,2024-03-06,130,377.0
5350,2022-01-28,168,396.72
3428,2023-09-12,105,76.86
5987,2023-07-10,164,466.92
9733,2022-12-06,158,246.44
5920,2024-03-08,127,316.3
3926,2022-11-27,117,322.88
8282,2023-10-02,187,254.95
5376,2023-05-21,176,75.3
5868,2022-12-14,196,377.12
7986,2023-04-18,109,292.98
7862,2022-08-19,106,63.75
5423,2022-07-09,136,351.66
7870,2022-08-13,195,352.87
9159,2023-01-20,144,276.5
3073,2023-01-12,185,49.82
7170,2022-10-10,115,179.56
1701,2023-09-25,187,30.21
9113,2023-09-20,113,241.41
7825,2024-01-15,110,453.69
8867,2022-09-16,182,6.12
5264,2022-12-25,186,136.99
8968,2023-12-11,133,400.93
9146,2023-04-01,159,9.88
8776,2023-02-15,112,10.04
9558,2023-10-11,138,307.36
9719,2022-11-14,143,395.65
5886,2023-11-08,127,389.37
4935,2022-08-13,139,390.89
5619,2024-03-29,115,183.7
6191,2022-08-22,149,441.95
7875,2023-11-15,127,11.35
8856,2023-10-26,167,159.53
6401,2024-04-06,191,171.91
4022,2023-01-09,159,86.96
6738,2023-11-03,111,171.43
6984,2023-08-31,115,295.01
2770,2023-04-17,152,262.54
9989,2022-08-21,153,163.12
4215,2023-11-23,148,375.92
7694,2022-04-23,135,358.82
3976,2024-04-09,161,143.94
4737,2023-05-12,183,165.0
1752,2023-03-18,125,147.32
2392,2023-07-18,155,68.78
7789,2022-09-25,189,377.63
1677,2023-05-25,121,27.91
1105,2024-03-17,172,79.54
5753,2023-01-21,168,57.13
2946,2023-01-22,180,413.54
6544,2022-04-23,148,26.78
2095,2023-09-05,197,333.99
7985,2023-09-17,101,27.01
2782,2022-03-22,152,394.29
5541,2023-11-30,106,456.79
4257,2022-04-23,199,245.99
7213,2022-01-02,176,403.25
5869,2023-10-04,119,354.67
2561,2022-08-08,193,398.84
5006,2023-07-20,129,384.55
4981,2024-05-04,174,106.66
6682,2024-01-06,194,252.28
6782,2022-08-13,166,480.41
1943,2023-01-20,158,175.05
5550,2023-02-07,165,485.39
1600,2023-09-30,102,293.67
7376,2022-05-10,155,233.5
2524,2022-02-22,178,330.59
4766,2023-11-15,116,408.84
1250,2023-12-31,151,200.13
1078,2023-11-03,106,21.31
4123,2023-12-11,104,355.86
8064,2023-02-20,197,478.3
9417,2022-09-04,196,314.37
2209,2024-04-15,153,98.27
6153,2023-03-15,160,127.88
5898,2022-07-22,115,455.33
3178,2022-07-03,166,11.71
8610,2022-05-03,158,276.63
9895,2023-02-05,146,83.55
3544,2024-02-06,147,144.97
6522,2022-10-21,163,156.96
3370,2022-10-07,149,113.54
4281,2024-04-16,184,397.21
5710,2024-06-02,140,169.44
1328,2023-09-02,171,176.02
6579,2022-07-17,121,229.24
5228,2024-06-25,153,451.64
7794,2023-05-26,104,345.65
1120,2024-01-22,116,35.57
7749,2022-05-24,177,24.43
1964,2023-09-01,140,285.36
5224,2022-07-20,191,444.09
4675,2022-05-04,194,165.01
6694,2022-07-06,180,127.65
3076,2022-11-22,134,375.35
7865,2023-04-09,139,303.04
6643,2022-12-15,121,284.69
9524,2024-02-10,147,78.9
6249,2023-10-22,152,92.1
2316,2024-02-03,192,144.48
2196,2023-02-07,109,107.39
4170,2022-12-12,117,485.87
1355,2023-05-26,198,14.21
1028,2022-05-27,179,314.9
2013,2022-05-28,148,261.21
3024,2024-05-13,170,165.01
9490,2023-12-12,129,444.36
6839,2024-03-30,118,336.73
6791,2023-05-04,154,499.19
1754,2023-10-02,159,88.48
9961,2023-07-05,186,48.49
4735,2022-12-04,171,74.0
2238,2024-05-21,180,138.3
2906,2023-10-03,120,211.31
8399,2024-02-18,125,431.99
8961,2023-04-18,127,145.38
5601,2022-05-31,138,458.05
2460,2023-02-19,132,234.14
8669,2022-10-25,139,325.3
2416,2023-09-03,182,135.88
8766,2022-09-20,128,82.23
2428,2024-02-03,119,435.38
5378,2022-05-24,119,59.21
8529,2022-12-12,173,388.14
5474,2023-09-16,111,292.59
4071,2023-07-26,196,431.26
1555,2024-05-30,124,360.32
9547,2022-01-02,124,144.42
2563,2024-06-15,103,289.34
2040,2022-10-31,103,11.47
3686,2022-09-11,108,240.23
3553,2023-10-14,114,47.58
2779,2023-03-29,125,217.33
1075,2022-02-06,178,59.26
5326,2022-06-09,189,477.96
6835,2022-01-09,191,263.92
6057,2022-08-21,170,457.04
3349,2022-04-09,131,16.07
3773,2023-10-21,175,320.64
3262,2024-03-26,198,156.94
4229,2022-07-27,151,218.76
1392,2022-05-11,131,437.18
2108,2023-02-08,108,490.11
5362,2022-06-01,177,127.01
6188,2022-02-23,112,474.39
9802,2022-04-30,155,345.92
6057,2023-11-04,143,475.95
